"","X","STATE00","COUNTY00","TRACT00","GEOID00","POP00","HU00","PART00","AREA00","AREALAND00","STATE10","COUNTY10","TRACT10","GEOID10","POP10","HU10","PART10","AREA10","AREALAND10","AREAPT","AREALANDPT","AREAPCT00PT","ARELANDPCT00PT","AREAPCT10PT","AREALANDPCT10PT","POP10PT","POPPCT00","POPPCT10","HU10PT","HUPCT00","HUPCT10"
"193",337,4,13,61003,4013061003,24051,9344,"P",21832277,21771756,4,13,61013,4013061013,5709,1917,"W",4588840,4578784,4588840,4578784,21.02,21.03,100,100,5709,23.74,100,1917,20.52,100
"194",338,4,13,61003,4013061003,24051,9344,"P",21832277,21771756,4,13,61014,4013061014,4905,2223,"W",3861612,3845741,3861612,3845741,17.69,17.66,100,100,4905,20.39,100,2223,23.79,100
"195",339,4,13,61003,4013061003,24051,9344,"P",21832277,21771756,4,13,61015,4013061015,5757,2003,"W",3207814,3207814,3207814,3207814,14.69,14.73,100,100,5757,23.94,100,2003,21.44,100
"196",340,4,13,61004,4013061004,20246,7397,"P",29955444,29929114,4,13,61022,4013061022,8869,3390,"W",7681660,7669037,7681660,7669037,25.64,25.62,100,100,8869,43.81,100,3390,45.83,100
"197",341,4,13,61004,4013061004,20246,7397,"P",29955444,29929114,4,13,61023,4013061023,9200,3309,"W",7772157,7772157,7772157,7772157,25.95,25.97,100,100,9200,45.44,100,3309,44.73,100
"198",342,4,13,61004,4013061004,20246,7397,"P",29955444,29929114,4,13,61024,4013061024,2177,698,"W",14501627,14487920,14501627,14487920,48.41,48.41,100,100,2177,10.75,100,698,9.44,100
"200",344,4,13,61005,4013061005,16184,5890,"P",75736351,75694841,4,13,61016,4013061016,4614,1505,"W",21298332,21277639,21298332,21277639,28.12,28.11,100,100,4614,28.51,100,1505,25.55,100
"201",345,4,13,61005,4013061005,16184,5890,"P",75736351,75694841,4,13,61017,4013061017,3496,0,"W",3328635,3328635,3328635,3328635,4.4,4.4,100,100,3496,21.6,100,0,0,0
"203",347,4,13,61005,4013061005,16184,5890,"P",75736351,75694841,4,13,61019,4013061019,3161,1133,"W",43209658,43209658,43209658,43209658,57.05,57.08,100,100,3161,19.53,100,1133,19.24,100
"208",352,4,13,61006,4013061006,37851,14100,"P",116430520,115867592,4,13,61040,4013061040,3929,1461,"W",1239456,1232864,1239456,1232864,1.06,1.06,100,100,3929,10.38,100,1461,10.36,100
